dataset,Outside Temperature,Avg. Temperature,Temperature difference,RH,va,Tg,Age,Male,Female,Height,Weight,Well-being,Duration,Icl,Alley,Window,y
March,7.9,11.92,1.47,45.24,0.03,11.5,42,0,1,168.0,62.0,1.0,11.101973684210526,1.1129,0,1,-1
March,8.1,11.38,2.36,51.56,0.16,11.25,33,0,1,165.0,61.0,0.0,10.0,1.3467,1,0,-1
March,8.1,12.24,1.38,46.62,0.02,11.75,29,0,1,162.0,63.0,0.0,10.0,1.1129,0,1,-1
March,8.4,11.6,2.87,51.48,0.09,11.44,49,1,0,193.0,100.0,0.0,12.5,0.8958,1,0,0
March,8.4,12.6,1.78,46.42,0.0,12.75,18,0,1,164.0,63.0,1.0,11.101973684210526,0.80395,0,1,0
March,8.4,12.985,1.5699999999999998,47.364999999999995,0.03,12.91,44,0,1,158.0,65.0,1.0,5.0,0.6703500000000001,1,0,0
March,8.4,12.61,1.78,46.5,0.0,12.75,45,1,0,176.0,76.0,1.0,17.5,0.9208500000000002,0,1,-1
March,8.5,12.69,1.47,47.37,0.03,12.19,34,1,0,170.0,89.0,2.0,20.0,0.9292,0,1,-1
March,8.9,12.92,1.55,46.66,0.02,12.44,27,1,0,185.0,94.0,-1.0,2.5,1.3467,0,1,-1
March,8.5,13.13,1.64,45.83,0.02,12.63,22,0,1,163.0,58.0,0.0,2.5,1.40515,1,0,-1
March,8.5,12.49,2.36,51.48,0.19,12.31,57,0,1,168.0,58.0,2.0,5.0,1.15465,0,1,-1
March,8.6,14.25,1.72,42.53,0.02,13.81,20,0,1,163.0,66.0,2.0,7.5,0.95425,1,0,0
March,8.9,14.78,2.41,43.65,0.02,14.25,17,1,0,179.0,64.0,2.0,12.5,1.10455,0,1,1
March,9.3,15.06,2.33,44.49,0.02,14.5,37,0,1,160.0,78.0,1.0,17.5,1.1463,1,0,0
